pillar,column,label,n,r2_baseline,lift_length,r2_alone_length,lift_extracted_min,r2_alone_extracted_min,lift_extracted_mid,r2_alone_extracted_mid,lift_extracted_full,r2_alone_extracted_full,lift_pca50,r2_alone_pca50,lift_full,r2_alone_full,best_embedding_lift,embedding_beats_length,best_extracted_lift,extracted_beats_length
B,lq_emp_99,Unclassified LQ,1075,0.46171445239295106,0.002942822385260113,-0.0016066816304720621,0.0025165659036023857,-0.0015426094859261053,0.0014811405669951094,-0.0015110403934190941,0.00035287007635209644,-0.0015743684530031832,0.002767978071142485,0.16999788712861097,0.006556608939188857,0.19932771580851782,0.006556608939188857,True,0.0025165659036023857,False
B,lq_emp_61,Educational Services LQ,1587,0.12029169491722191,0.0003846246574011891,0.031788632059342015,0.0007296515948267412,0.026636994497829414,0.0017602498803827027,0.030349978221337115,2.4111457411657433e-05,0.045621995345662136,-0.00022864937638145122,0.070975479614238,0.0007623680978515734,0.08631440679861713,0.0007623680978515734,True,0.0017602498803827027,True
B,lq_emp_42,Wholesale Trade LQ,2346,0.21181555199986846,-2.3640937685254215e-07,0.0056320424842019046,-0.0005264281567134432,0.03164370473935929,-3.815135457019281e-05,0.029439264875940507,0.0013707939779998846,0.036120345766314066,-0.00016974255657908888,0.08192198800329165,0.0015036599238542614,0.10753747747499354,0.0015036599238542614,True,0.0013707939779998846,True
B,lq_emp_55,Management of Companies & Enterprises LQ,1296,0.20060044569902713,9.93038207219854e-09,0.030958888446684596,0.00037783252262579836,0.03897280509594292,-1.807996701752579e-05,0.03372971214712217,0.0010957485773014364,0.02952252231374386,0.0006412934324760977,0.0814151084901934,0.0007636784767699467,0.09403047891393235,0.0007636784767699467,True,0.0010957485773014364,True
B,lq_emp_53,Real Estate & Rental & Leasing LQ,2453,0.26192747646971837,0.0012152257282573853,0.04443722979722087,0.0006480188998692071,0.0625748848717077,0.000878180377515636,0.06169462564799311,0.0004361013097808897,0.06146714910790696,0.003346057364563615,0.10446059248802386,0.0039399792900458586,0.11714295932436447,0.0039399792900458586,True,0.000878180377515636,False
B,lq_emp_23,Construction LQ,2469,0.09106696842072892,4.396055882860406e-05,-0.0011796270123887176,0.0008515505649658861,0.0029603730605467504,0.0008578361336886164,0.0026743039064535123,0.00027067217938725463,0.0006873748513699374,2.3690946254428802e-05,0.009026569387267647,0.0008020088310556339,0.01861744513984509,0.0008020088310556339,True,0.0008578361336886164,True
B,lq_emp_62,Health Care & Social Assistance LQ,1942,0.20052476414543208,0.0008738871139677418,0.020845933576038922,-0.001040787955774447,0.01760682329570773,0.0008109129835519591,0.016666837799907852,1.2152202799042833e-05,0.02667335262069037,-0.0006025897160928384,0.050862479956823026,-0.0004307683645714544,0.0267788441382929,-0.0004307683645714544,False,0.0008109129835519591,False
C,gdp_velocity_pct,GDP velocity (normalized),3080,0.1261805650017448,0.0011100038076787833,-0.0010920728676244718,0.0006785306805748847,0.0029586878955149,2.916620067694442e-05,0.0034721561748679575,0.0005722166301862508,0.002265034264292032,-0.0016402347252053584,0.005510158872333637,0.0008005588857464829,0.007031765821870373,0.0008005588857464829,False,0.0006785306805748847,False
B,lq_emp_71,"Arts, Entertainment & Recreation LQ",2243,0.15029878058969826,-5.557325884042452e-05,0.002903427500276279,0.00011399477693596616,0.0020551033376434713,0.00044085140301863834,0.0011961751557119094,0.00013626762401841575,0.004697594698760188,0.003097786121646684,0.01797817042462213,0.003012173416776953,0.021240731959534243,0.003097786121646684,True,0.00044085140301863834,True
B,lq_emp_44-45,Retail Trade LQ,3050,0.12060525637782438,0.001344244477794243,-0.0006706253131114615,-1.9763777442061148e-05,0.005771090731402917,0.00038108445059092944,0.006470912174472043,-0.0015918604493228017,0.00375689065427931,0.0016971072274579724,0.00995875072786001,-0.0008798467482448169,0.015268802190067099,0.0016971072274579724,True,0.00038108445059092944,False
D,log_total_tons,freight tonnage (log10),3144,0.8861067865403752,0.0004272824176173584,0.07246907020580973,-8.896709364880628e-06,0.26434617995533605,0.00013903577597196293,0.26353054282809063,0.00034590998355576996,0.2649235317324271,0.00012373668906728863,0.3140247436051866,0.0006322617451135493,0.5263972332824396,0.0006322617451135493,True,0.00034590998355576996,False
B,lq_emp_56,Administrative & Support & Waste Management LQ,2212,0.23161899772538486,-2.1037865664874644e-05,0.025853362671659386,0.00015227671706463664,0.06671995821628018,5.669216193204818e-05,0.06780902984407233,-0.00039550589117998136,0.05816501852393008,7.65311900208232e-05,0.10614517607938945,0.00046794469966604524,0.125293129386032,0.00046794469966604524,True,0.00015227671706463664,True
D,in_partner_hhi,inbound partner concentration,3144,0.3654943764173364,-8.980009415915369e-05,0.03818516053045906,1.808331104202754e-05,0.06312585031073004,0.00013801385553369183,0.06523518803306227,1.5187622417922597e-05,0.06742274908566159,0.00037080236365527597,0.09705222890923348,0.0006295231430462067,0.16347700954807276,0.0006295231430462067,True,0.00013801385553369183,True
C,unemployment_velocity,unemployment velocity,3143,0.5457404580284728,-0.0002917312222193713,0.0013726936215424645,-0.0005866374992860024,0.0008530559908611623,-0.00013989169452499617,0.0012313282771376777,1.3500589733150825e-05,-3.0465417409697437e-05,0.00019916828736277203,0.17271274792917024,0.0007105040998667267,0.1681202464310867,0.0007105040998667267,True,1.3500589733150825e-05,True
B,lq_emp_81,Other Services (except Public Administration) LQ,2579,0.1932091969711729,5.9467153606940215e-05,0.02787002787523729,7.101341199300393e-06,0.033897373910323325,7.529425929408973e-06,0.03256643852353258,6.702590292340105e-06,0.03891112317975909,1.7841024160136776e-05,0.07099689456214642,0.00014153286458429282,0.08658105436235652,0.00014153286458429282,True,7.529425929408973e-06,False
B,lq_emp_22,Utilities LQ,1415,0.052219069169806676,-0.0006987720442397372,0.004486132727003156,3.915878899474201e-06,0.02778598268314414,5.879350687965079e-06,0.02780802262451576,-0.00042417030111130405,0.012142364011724194,0.0026184125147790116,0.01202640751177364,0.0024347563478118728,0.0130257370893051,0.0026184125147790116,True,5.879350687965079e-06,True
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",1026,0.4152462403313837,-0.00034875729863248495,0.011188279666161205,-4.978271260180911e-05,0.03638850825861528,-0.00010435558915744547,0.036815594783774386,-3.222723881646239e-06,0.03771513561847528,-0.000472087587024439,0.06933646225823764,-0.0006931927108175806,0.092859785255475,-0.000472087587024439,False,-3.222723881646239e-06,True
