target,label,representation,n,n_columns,r2_reduced,r2_reduced_geo,r2_full,contribution,contribution_geo,reduced_r2_negative,excluded
median_family_income,median family income,typed,3140,29,0.7678069255342514,0.7640152540199379,0.7691373736670486,0.0013304481327971462,0.005122119647110734,False,False
median_family_income,median family income,typed_transformed,3140,37,0.7678069255342514,0.7640152540199379,0.768674125385433,0.0008671998511815548,0.004658871365495143,False,False
median_family_income,median family income,latlong_only,3140,2,0.7678069255342514,0.7640152540199379,0.7640152540199379,-0.003791671514313588,0.0,False,False
median_family_income,median family income,minilm_uniform,3140,384,0.7678069255342514,0.7640152540199379,0.7243753010765895,-0.04343162445766191,-0.03963995294334832,False,False
median_family_income,median family income,minilm_uniform_l2,3140,384,0.7678069255342514,0.7640152540199379,0.7302750961444545,-0.037531829389796934,-0.033740157875483345,False,False
median_family_income,median family income,minilm_uniform_pca29,3140,29,0.7678069255342514,0.7640152540199379,0.7664065509085203,-0.001400374625731171,0.002391296888582417,False,False
median_family_income,median family income,minilm_uniform_pca64,3140,64,0.7678069255342514,0.7640152540199379,0.761169698332866,-0.006637227201385487,-0.002845555687071899,False,False
median_family_income,median family income,minilm_uniform_ccr_pca29,3140,29,0.7678069255342514,0.7640152540199379,0.7691871329018687,0.0013802073676172366,0.005171878881930825,False,False
median_family_income,median family income,minilm_prose_plus_history_ccr_pca29,3140,29,0.7678069255342514,0.7640152540199379,0.7688841027743523,0.0010771772401008128,0.004868848754414401,False,False
median_gross_rent,median gross rent,typed,3134,29,0.7571977307699691,0.7662214151429287,0.7573858910436558,0.00018816027368673272,-0.008835524099272907,False,False
median_gross_rent,median gross rent,typed_transformed,3134,37,0.7571977307699691,0.7662214151429287,0.7587526367092282,0.0015549059392591102,-0.007468778433700529,False,False
median_gross_rent,median gross rent,latlong_only,3134,2,0.7571977307699691,0.7662214151429287,0.7662214151429287,0.00902368437295964,0.0,False,False
median_gross_rent,median gross rent,minilm_uniform,3134,384,0.7571977307699691,0.7662214151429287,0.7511016869887955,-0.006096043781173566,-0.015119728154133205,False,False
median_gross_rent,median gross rent,minilm_uniform_l2,3134,384,0.7571977307699691,0.7662214151429287,0.7575803417015049,0.0003826109315357984,-0.008641073441423841,False,False
median_gross_rent,median gross rent,minilm_uniform_pca29,3134,29,0.7571977307699691,0.7662214151429287,0.7690117650105663,0.011814034240597238,0.002790349867637598,False,False
median_gross_rent,median gross rent,minilm_uniform_pca64,3134,64,0.7571977307699691,0.7662214151429287,0.7654160563626965,0.008218325592727393,-0.0008053587802322459,False,False
median_gross_rent,median gross rent,minilm_uniform_ccr_pca29,3134,29,0.7571977307699691,0.7662214151429287,0.7719337630445363,0.014736032274567212,0.005712347901607573,False,False
median_gross_rent,median gross rent,minilm_prose_plus_history_ccr_pca29,3134,29,0.7571977307699691,0.7662214151429287,0.7686200510147836,0.011422320244814488,0.0023986358718548484,False,False
median_contract_rent,median contract rent,typed,3129,29,0.8100417240982429,0.8086416751863787,0.8113424258845898,0.0013007017863468917,0.002700750698211074,False,False
median_contract_rent,median contract rent,typed_transformed,3129,37,0.8100417240982429,0.8086416751863787,0.8109981020380592,0.0009563779398162886,0.002356426851680471,False,False
median_contract_rent,median contract rent,latlong_only,3129,2,0.8100417240982429,0.8086416751863787,0.8086416751863787,-0.0014000489118641823,0.0,False,False
median_contract_rent,median contract rent,minilm_uniform,3129,384,0.8100417240982429,0.8086416751863787,0.8032332725252873,-0.0068084515729556205,-0.005408402661091438,False,False
median_contract_rent,median contract rent,minilm_uniform_l2,3129,384,0.8100417240982429,0.8086416751863787,0.8077276399999526,-0.00231408409829037,-0.0009140351864261875,False,False
median_contract_rent,median contract rent,minilm_uniform_pca29,3129,29,0.8100417240982429,0.8086416751863787,0.8209579002008662,0.010916176102623298,0.01231622501448748,False,False
median_contract_rent,median contract rent,minilm_uniform_pca64,3129,64,0.8100417240982429,0.8086416751863787,0.8151023402942135,0.005060616195970535,0.006460665107834718,False,False
median_contract_rent,median contract rent,minilm_uniform_ccr_pca29,3129,29,0.8100417240982429,0.8086416751863787,0.8226612571754304,0.01261953307718744,0.014019581989051622,False,False
median_contract_rent,median contract rent,minilm_prose_plus_history_ccr_pca29,3129,29,0.8100417240982429,0.8086416751863787,0.8210826772920986,0.011040953193855674,0.012441002105719856,False,False
median_monthly_housing_cost,median monthly owner housing cost,typed,3143,29,0.8348136785488245,0.8295385968698721,0.8336745536674686,-0.001139124881355924,0.004135956797596485,False,False
median_monthly_housing_cost,median monthly owner housing cost,typed_transformed,3143,37,0.8348136785488245,0.8295385968698721,0.8317965323997927,-0.003017146149031813,0.002257935529920596,False,False
median_monthly_housing_cost,median monthly owner housing cost,latlong_only,3143,2,0.8348136785488245,0.8295385968698721,0.8295385968698721,-0.005275081678952409,0.0,False,False
median_monthly_housing_cost,median monthly owner housing cost,minilm_uniform,3143,384,0.8348136785488245,0.8295385968698721,0.8085710038882301,-0.02624267466059438,-0.02096759298164197,False,False
median_monthly_housing_cost,median monthly owner housing cost,minilm_uniform_l2,3143,384,0.8348136785488245,0.8295385968698721,0.8120183083571392,-0.022795370191685316,-0.017520288512732907,False,False
median_monthly_housing_cost,median monthly owner housing cost,minilm_uniform_pca29,3143,29,0.8348136785488245,0.8295385968698721,0.8377299784092402,0.0029162998604157497,0.008191381539368159,False,False
median_monthly_housing_cost,median monthly owner housing cost,minilm_uniform_pca64,3143,64,0.8348136785488245,0.8295385968698721,0.8328058771830934,-0.002007801365731088,0.0032672803132213213,False,False
median_monthly_housing_cost,median monthly owner housing cost,minilm_uniform_ccr_pca29,3143,29,0.8348136785488245,0.8295385968698721,0.83929591701315,0.004482238464325494,0.009757320143277903,False,False
median_monthly_housing_cost,median monthly owner housing cost,minilm_prose_plus_history_ccr_pca29,3143,29,0.8348136785488245,0.8295385968698721,0.8351312690522228,0.00031759050339830175,0.005592672182350711,False,False
median_year_built,median year structure built,typed,3144,29,0.47959748745743913,0.4721879780316144,0.4855601186573977,0.005962631199958546,0.013372140625783291,False,False
median_year_built,median year structure built,typed_transformed,3144,37,0.47959748745743913,0.4721879780316144,0.482178768154346,0.0025812806969068847,0.00999079012273163,False,False
median_year_built,median year structure built,latlong_only,3144,2,0.47959748745743913,0.4721879780316144,0.4721879780316144,-0.007409509425824745,0.0,False,False
median_year_built,median year structure built,minilm_uniform,3144,384,0.47959748745743913,0.4721879780316144,0.46627048537124616,-0.013327002086192974,-0.005917492660368229,False,False
median_year_built,median year structure built,minilm_uniform_l2,3144,384,0.47959748745743913,0.4721879780316144,0.4789661945639171,-0.0006312928935220397,0.0067782165323027055,False,False
median_year_built,median year structure built,minilm_uniform_pca29,3144,29,0.47959748745743913,0.4721879780316144,0.5054732186516694,0.025875731194230256,0.033285240620055,False,False
median_year_built,median year structure built,minilm_uniform_pca64,3144,64,0.47959748745743913,0.4721879780316144,0.4902782116839808,0.010680724226541649,0.018090233652366394,False,False
median_year_built,median year structure built,minilm_uniform_ccr_pca29,3144,29,0.47959748745743913,0.4721879780316144,0.5101957712448233,0.030598283787384162,0.03800779321320891,False,False
median_year_built,median year structure built,minilm_prose_plus_history_ccr_pca29,3144,29,0.47959748745743913,0.4721879780316144,0.5177925876013032,0.03819510014386407,0.045604609569688814,False,False
mean_household_size,mean household size,typed,3144,29,0.2873991835956047,0.2947293283289233,0.2916707073054031,0.0042715237097984415,-0.0030586210235201694,False,False
mean_household_size,mean household size,typed_transformed,3144,37,0.2873991835956047,0.2947293283289233,0.29140563384517737,0.004006450249572691,-0.0033236944837459204,False,False
mean_household_size,mean household size,latlong_only,3144,2,0.2873991835956047,0.2947293283289233,0.2947293283289233,0.007330144733318611,0.0,False,False
mean_household_size,mean household size,minilm_uniform,3144,384,0.2873991835956047,0.2947293283289233,0.24585692040975293,-0.04154226318585175,-0.04887240791917036,False,False
mean_household_size,mean household size,minilm_uniform_l2,3144,384,0.2873991835956047,0.2947293283289233,0.2580388885685513,-0.029360295027053396,-0.03669043976037201,False,False
mean_household_size,mean household size,minilm_uniform_pca29,3144,29,0.2873991835956047,0.2947293283289233,0.28552024392055586,-0.0018789396750488185,-0.00920908440836743,False,False
mean_household_size,mean household size,minilm_uniform_pca64,3144,64,0.2873991835956047,0.2947293283289233,0.27280078261478913,-0.014598400980815551,-0.021928545714134162,False,False
