target,population_decile,n,median_population,variance_total,variance_sampling_noise,noise_share,r2_ceiling,rmse_grand_mean,r2_grand_mean,rmse_size,r2_size,rmse_emacro,r2_emacro,rmse_size_emacro,r2_size_emacro,rmse_size_emacro_drop_A,r2_size_emacro_drop_A,rmse_size_emacro_drop_B,r2_size_emacro_drop_B,rmse_size_emacro_drop_C,r2_size_emacro_drop_C,rmse_size_emacro_drop_D,r2_size_emacro_drop_D,rmse_size_emacro_drop_E,r2_size_emacro_drop_E,rmse_size_emacro_drop_F,r2_size_emacro_drop_F,rmse_size_emacro_drop_BE,r2_size_emacro_drop_BE,rmse_size_emacro_no_ametro,r2_size_emacro_no_ametro,rmse_size_emacro_drop_F_no_ametro,r2_size_emacro_drop_F_no_ametro,rmse_reduction,share_of_explainable,r2_lift_over_size
median_household_income,1,315,2658.0,167026850.17051864,65597644.943683125,0.39273712505931907,0.607262874940681,13833.339314216151,-0.1456917039797878,17922.206732713916,-0.9230770013456853,9838.933402782442,0.42042485740729874,10065.645124334329,0.3934076367625914,9994.198414090983,0.4019883519431362,9526.904644661961,0.45660286345684953,10108.555435423334,0.38822475017215774,10285.969014800914,0.36656197212944197,16828.389518365093,-0.6955040072461711,10367.172274786248,0.35652105715116156,17101.900656933278,-0.7510658063720026,10066.035778840856,0.39336055132776004,10366.34644698718,0.356623569508399,0.438370214424476,0.6478374572149178,1.3164846381082767
median_household_income,2,314,6794.5,198246975.36790058,24439177.85606629,0.12327642230461687,0.8767235776953831,15356.808122403154,-0.18958463437163986,10196.813376248183,0.47552792249626863,7799.313948713778,0.6931640547972236,7794.185992817745,0.6935674041033937,7613.207770268692,0.7076327018572793,7846.95355474727,0.6894041890117495,7905.04516827781,0.684788436259641,8116.997741762101,0.6676587261041309,9275.490110166667,0.5660225502853746,7929.837218686157,0.6828081830849366,9500.105022068628,0.5447496978814093,7800.098626752705,0.6931023110230984,7921.659246808213,0.6834620800338185,0.23562531692763622,0.7910901699787217,0.21803948160712505
median_household_income,3,314,10823.0,185235057.28032598,17475256.90519451,0.09434098038336383,0.9056590196166362,15429.89375381533,-0.28529461296156167,8467.654111039208,0.6129179476232187,6276.207106535162,0.7873470809334415,6375.72907757034,0.7805495251956638,6330.217988705267,0.7836712964982369,6130.369393992823,0.7971149227441868,6386.988510336358,0.7797737489322364,6458.128192583992,0.774840570871365,7904.938435565641,0.66265537103208,6489.612009928184,0.7726398843839307,7711.878634595246,0.6789318774322353,6378.812448566897,0.7803372166618826,6490.518303499275,0.7725763769203453,0.24704894720978776,0.8618580594781344,0.16763157757244507
median_household_income,4,314,15924.5,196032262.08994526,13782989.056562092,0.0703097995687978,0.9296902004312022,15306.682081813437,-0.1951834552937386,8358.179238145056,0.643634372056036,6151.322382509796,0.8069768381481796,5837.646467072591,0.8261606742114261,5914.3812533489945,0.8215604654201448,6047.371789244311,0.8134454749057161,5879.601771212382,0.8236529200883158,6299.505044708253,0.7975651385887865,7789.417594796458,0.6904844854655343,5935.7483720337195,0.8202688253429684,7987.296418368039,0.6745591598305231,5842.443211244876,0.825874872264854,5935.698231530861,0.8202718617834808,0.3015648144477757,0.8886408330734714,0.18252630215539012
median_household_income,5,314,21847.0,184844087.25292525,10533328.657912865,0.0569849369512152,0.9430150630487848,14783.373409885158,-0.18233768049640942,8393.00428265073,0.6189084436755294,6475.270809149367,0.7731648727586857,6304.157415910421,0.7849950122007519,6153.037490590422,0.7951794351484611,6425.082581192012,0.7766675321420988,6247.588938781689,0.788836266671713,6402.385744033956,0.7782426052972893,8112.485246174702,0.6439571433012624,6271.138276449024,0.7872413672148896,7947.48934358699,0.6582926302641082,6290.92769095825,0.7858964719887788,6271.525374816065,0.7872151005125574,0.2488795187508944,0.8324310426843541,0.1660865685252224
median_household_income,6,314,30944.5,211568152.12250462,8225094.885869506,0.03887681015953156,0.9611231898404684,14904.144294348036,-0.04993835281089387,9459.75819346849,0.5770297930896593,6310.517009844302,0.8117740097834965,6197.450314605198,0.8184585438938824,6254.112253582172,0.81512378073918,6419.430368497495,0.8052207487631384,6167.18344835092,0.8202274240993013,6314.671430327881,0.8115260975106015,7898.850258985383,0.7050981691339506,6512.674198370181,0.7995212191031611,8386.163662814064,0.6675882439112053,6197.371763123327,0.8184631458702762,6513.992533590794,0.7994400466138822,0.34486165630700355,0.8515646615807219,0.2414287508042231
median_household_income,7,314,44671.0,199632837.9509269,6151188.309032269,0.030812507462045568,0.9691874925379544,14130.378186325244,-0.00017406824451349223,8683.245121722175,0.6223129089491468,6399.882410151302,0.7948308740978158,6209.152175529078,0.8068776102438888,6214.758503348357,0.8065287071436867,6201.830056525301,0.8073328193657429,6223.751304141479,0.8059683933094991,6461.537744660459,0.790858706141647,7819.396048526947,0.6937229606546554,6435.535264018568,0.7925385695082523,7941.737384193333,0.684064038126844,6205.902777588332,0.8070796884912002,6430.540872967455,0.7928604515001184,0.28492722611317955,0.8325299453988678,0.184564701294742
median_household_income,8,314,70275.5,226461956.76372072,4425773.189421553,0.019543119968883724,0.9804568800311163,15303.681768778697,-0.03418110055635082,9659.47162439273,0.5879864618506384,6505.597645450752,0.8131129778735777,6343.530569024833,0.8223084324837069,6225.875434508217,0.8288386911429245,5992.701896556917,0.8414193865750874,6414.962211633141,0.8182840916648226,6533.181612669406,0.8115248026905711,9157.410025883322,0.6297031096059906,6341.761794579146,0.8224075105862255,9169.551607244628,0.6287205238377049,6338.525942053017,0.8225886957251822,6341.897298113726,0.8223999213175333,0.34328389629452044,0.8386992321963304,0.23432197063306848
median_household_income,9,314,144842.0,262031938.53710753,2780575.2461907216,0.010611589036490496,0.9893884109635095,18471.667370624345,-0.30214086632293835,11434.582003134808,0.5010163023775882,7137.484904769403,0.805582132276609,6731.6397685719185,0.8270631655560502,6635.694542801163,0.8319577288509603,6949.6631419504,0.8156796531895129,6799.391965710008,0.8235645190373817,7192.703942420359,0.8025622743084696,9756.764410116519,0.6367066843607867,6708.122944938413,0.8282693564165015,10485.77184699409,0.5803892768146539,6731.282893407725,0.8270815014229005,6702.17874717025,0.8285735692763294,0.41129113712014753,0.8359337509832161,0.326046863178462
median_household_income,10,315,468058.0,483908743.8575877,1280764.2217550108,0.002646706094924241,0.9973532939050758,30477.555898446815,-0.9195383950663145,15664.945569672018,0.4928991823032559,9470.267915857825,0.8146634555863279,9318.347883681594,0.8205620204563457,9280.073864583796,0.8220330340683493,9521.92116518003,0.8126361967483142,9673.188953626073,0.8066358880258404,9676.793122631489,0.8064917686923094,13741.359175343523,0.6097922296659966,8761.181842938347,0.8413785486223364,15227.497986463093,0.5208255732697034,9302.224984614173,0.821182421762881,8765.875572146719,0.8412085428880525,0.4051464882378972,0.8227395702915717,0.32766283815308983
