feature,pillar,r_with_log_size,abs_r,r_squared,n,size_proxy,r_with_log_returns
gdp_velocity,C,0.4202201603805098,0.4202201603805098,0.17658498319022137,3080,True,0.4221317464284501
lq_emp_21,B,-0.4160486645348055,0.4160486645348055,0.1730964912611951,1026,True,-0.41855653263321957
lq_emp_56,B,0.411654041605164,0.411654041605164,0.1694590499698661,2212,True,0.40827923413160166
population_loss,F,-0.39996039119159066,0.39996039119159066,0.15996831452213023,3126,True,-0.39316890580517333
founding_year,A,-0.3952565079252543,0.3952565079252543,0.1562277070572666,1214,True,-0.3981287186274173
share_in_sctg3499,D,0.3904687054171407,0.3904687054171407,0.15246580991013778,3143,True,0.3863749033852795
disclosure_81,B,-0.3843115802301428,0.3843115802301428,0.14769539069898946,3128,True,-0.38582567926125894
disclosure_51,B,-0.3825806797322753,0.3825806797322753,0.14636797650440977,3028,True,-0.3851945927418861
disclosure_31-33,B,-0.38054374719194506,0.38054374719194506,0.144813543526887,3083,True,-0.38010063180343334
disclosure_48-49,B,-0.380459621637004,0.380459621637004,0.14474952369617222,3116,True,-0.3792234128147523
share_in_sctg1014,D,0.36378988659532635,0.36378988659532635,0.1323430815890404,3143,True,0.36172563570014593
content_length,A,0.35502377020361037,0.35502377020361037,0.12604187740958595,3143,True,0.3585706675532559
disclosure_54,B,-0.35190677124441927,0.35190677124441927,0.12383837564767203,3132,True,-0.3555160040569163
housing_stress,F,0.3501074896950123,0.3501074896950123,0.12257525434054316,3143,True,0.34917057216579755
nonspecialized,F,0.33722912945687566,0.33722912945687566,0.11372348575424221,3134,True,0.3317573356202344
in_partner_hhi,D,0.3293577339550614,0.3293577339550614,0.10847651691601301,3143,True,0.333196184889138
n_distinct_proper_nouns,A,0.32825448285707254,0.32825448285707254,0.10775100551576412,3143,True,0.3291526000900505
out_partner_hhi,D,0.32557178297061695,0.32557178297061695,0.1059969858666665,3143,True,0.32941173258502066
industry_dependence_none,F,0.31986954432025294,0.31986954432025294,0.10231652538364626,3134,True,0.31061525525260975
lq_emp_53,B,0.31397876663235963,0.31397876663235963,0.09858266589597775,2453,True,0.3194623076180233
lq_emp_22,B,-0.29193360706569393,0.29193360706569393,0.08522523093438698,1415,False,-0.29079817301780914
lq_emp_55,B,0.29191499393152565,0.29191499393152565,0.08521436368204266,1296,False,0.29883711780957156
disclosure_23,B,-0.2872228152680916,0.2872228152680916,0.08249694561052828,3129,False,-0.289242755466922
disclosure_21,B,-0.2871472888577477,0.2871472888577477,0.0824535654983548,2504,False,-0.28478790955072286
disclosure_44-45,B,-0.2862921893654891,0.2862921893654891,0.08196321769168508,3138,False,-0.2850566242542282
disclosure_99,B,-0.2847081922196816,0.2847081922196816,0.08105875471699915,1704,False,-0.285169174606913
has_economy_section,A,0.2677542246221921,0.2677542246221921,0.07169232480303131,3143,False,0.2667598699032349
share_out_sctg1014,D,0.25918219090328465,0.25918219090328465,0.06717540808142669,3143,False,0.25975463118187175
