pillar,column,variant,tier,n,r2_baseline,lift
B,lq_emp_42,extracted_sections,thin,954,0.22949184772389453,0.0025317988804692826
B,lq_emp_42,extracted_sections,mid,592,0.24885965494238704,0.005211718351102679
B,lq_emp_42,extracted_sections,rich,592,-0.0512593068572158,-0.00415364781584171
B,lq_emp_42,sections_x_tier,stub,208,0.2526018307318544,-0.0010905610657091502
B,lq_emp_42,sections_x_tier,thin,954,0.22949184772389453,0.0017843462385054298
B,lq_emp_42,sections_x_tier,mid,592,0.24885965494238704,0.0029610986332112565
B,lq_emp_42,sections_x_tier,rich,592,-0.0512593068572158,0.0023130921090401824
B,lq_emp_42,pca50,stub,208,0.2526018307318544,0.0012564461185570197
B,lq_emp_42,pca50,thin,954,0.22949184772389453,7.85078148792806e-05
B,lq_emp_42,pca50,mid,592,0.24885965494238704,-0.0006511979501708787
B,lq_emp_42,pca50,rich,592,-0.0512593068572158,-0.0017388797463122607
B,lq_emp_42,full,stub,208,0.2526018307318544,0.003686082004837554
B,lq_emp_42,full,thin,954,0.22949184772389453,0.0016841333119621549
B,lq_emp_42,full,mid,592,0.24885965494238704,-0.0008541083306272679
B,lq_emp_42,full,rich,592,-0.0512593068572158,0.0018643980989454523
B,lq_emp_44-45,length,stub,289,0.053552530717438596,-0.007879054942797725
B,lq_emp_44-45,length,thin,1243,0.1400361954133602,0.0010013319632710127
B,lq_emp_44-45,length,mid,759,0.09759468200262233,0.00018593456302473665
B,lq_emp_44-45,length,rich,759,0.08323800418998817,0.0075507392692967246
B,lq_emp_44-45,extracted_min,stub,289,0.053552530717438596,-0.004677620833949736
B,lq_emp_44-45,extracted_min,thin,1243,0.1400361954133602,0.0006630162397204264
B,lq_emp_44-45,extracted_min,mid,759,0.09759468200262233,-0.0020784365035718677
B,lq_emp_44-45,extracted_min,rich,759,0.08323800418998817,0.0018917252505580295
B,lq_emp_44-45,extracted_mid,stub,289,0.053552530717438596,-0.0066611013503805605
B,lq_emp_44-45,extracted_mid,thin,1243,0.1400361954133602,0.0006181814757901805
B,lq_emp_44-45,extracted_mid,mid,759,0.09759468200262233,-0.00044037118677309195
B,lq_emp_44-45,extracted_mid,rich,759,0.08323800418998817,0.0019807473452773117
B,lq_emp_44-45,extracted_full,stub,289,0.053552530717438596,-0.006416416340837117
B,lq_emp_44-45,extracted_full,thin,1243,0.1400361954133602,-0.0007426174566586008
B,lq_emp_44-45,extracted_full,mid,759,0.09759468200262233,-0.0038857414185674566
B,lq_emp_44-45,extracted_full,rich,759,0.08323800418998817,-0.002600259371560276
B,lq_emp_44-45,extracted_sections,stub,289,0.053552530717438596,-0.005714298475717472
B,lq_emp_44-45,extracted_sections,thin,1243,0.1400361954133602,-0.0016496811970910796
B,lq_emp_44-45,extracted_sections,mid,759,0.09759468200262233,-0.005669280618284422
B,lq_emp_44-45,extracted_sections,rich,759,0.08323800418998817,0.0053194386241294245
B,lq_emp_44-45,sections_x_tier,stub,289,0.053552530717438596,0.0013161515768991272
