county_name,fips_code,total_tons,mean_partner_hhi,tons_quartile,unemployment_velocity,gdp_velocity_pct
"Clearfield County, Pennsylvania",42033,8611.7815735,0.018224478767818728,3,-0.13333333333333344,0.03374915854848824
"Clinton County, Pennsylvania",42035,4557.0480401,0.015140411528894376,3,-0.09999999999999994,0.02994104947335667
"Columbia County, Pennsylvania",42037,5838.2176253,0.017293220046801658,3,0.13333333333333344,0.018750065048178055
"Crawford County, Pennsylvania",42039,7540.3602639,0.01785521040824148,3,-0.033333333333333215,0.0004483853875948126
"Cumberland County, Pennsylvania",42041,28132.728926999996,0.016198429712517427,4,0.06666666666666672,0.019123811779049166
"Dauphin County, Pennsylvania",42043,29729.2143948,0.01704403070612226,4,0.20000000000000018,0.006438307795663912
"Delaware County, Pennsylvania",42045,33593.8531658,0.0741455057788577,4,0.06666666666666672,0.002904993372945331
"Elk County, Pennsylvania",42047,3897.6969374,0.01641736551118056,2,-0.033333333333333215,-0.000393740763166917
"Erie County, Pennsylvania",42049,29912.8266737,0.01531750786821804,4,-0.06666666666666672,0.01445315658367094
"Fayette County, Pennsylvania",42051,11911.219907800001,0.0803048257953477,4,-0.09999999999999994,0.015545098894595799
"Forest County, Pennsylvania",42053,705.9006473,0.01881009968343208,1,-0.03333333333333351,-0.00038916145946576167
"Franklin County, Pennsylvania",42055,17796.8963803,0.014905636457420041,4,0.06666666666666658,0.00858879046157614
"Fulton County, Pennsylvania",42057,1688.2323818999998,0.018125722014622432,1,0.0,-0.02770284010031858
"Greene County, Pennsylvania",42059,7702.2369495,0.026097284178749146,3,-0.2666666666666666,0.05228651916635513
"Huntingdon County, Pennsylvania",42061,3796.7976145000002,0.01695206232247645,2,-0.13333333333333344,0.015215708317231813
"Indiana County, Pennsylvania",42063,8921.3699096,0.08694121375136932,3,-0.09999999999999994,-0.03504660215907749
"Jefferson County, Pennsylvania",42065,4823.5258477,0.016903133269701973,3,0.0,0.009635032079145239
"Juniata County, Pennsylvania",42067,2512.8873374000004,0.01706205482593661,2,0.3333333333333333,0.008095026846502346
"Lackawanna County, Pennsylvania",42069,20534.7344379,0.01674588934966503,4,0.03333333333333351,0.008887019032991909
"Lancaster County, Pennsylvania",42071,55621.3819907,0.016930344037420036,4,0.0,0.011588372755824012
"Lawrence County, Pennsylvania",42073,9742.315711000001,0.06804118949649052,3,-0.033333333333333215,-0.0027440531419095225
"Lebanon County, Pennsylvania",42075,24570.199135400002,0.014643637922315504,4,0.06666666666666658,0.011474885980494228
"Lehigh County, Pennsylvania",42077,31946.231496500004,0.03590237949549629,4,0.09999999999999994,0.016383768082446844
"Luzerne County, Pennsylvania",42079,36269.0331656,0.015415616596227475,4,0.06666666666666672,0.01570572793095301
"Lycoming County, Pennsylvania",42081,11451.129446199999,0.01692050610639685,4,-0.033333333333333215,0.02156209319545521
"McKean County, Pennsylvania",42083,25733.8523251,0.018918916219123904,4,-0.09999999999999994,-0.014504740203111374
"Mercer County, Pennsylvania",42085,13121.1421008,0.014626298175470558,4,-0.03333333333333351,0.017051550586897876
"Mifflin County, Pennsylvania",42087,4619.5568283,0.01750040276562939,3,-0.10000000000000009,0.027531767912721744
"Monroe County, Pennsylvania",42089,12516.521694300001,0.03835050966358111,4,-0.16666666666666666,0.017036162512722792
"Montgomery County, Pennsylvania",42091,43117.3275927,0.053797378507703955,4,0.03333333333333336,0.013900506868861243
"Montour County, Pennsylvania",42093,2774.9024947,0.017520988551584574,2,0.033333333333333215,0.04339284359260252
"Northampton County, Pennsylvania",42095,27758.024911300003,0.03395278692316,4,0.06666666666666672,0.019430913165981317
"Northumberland County, Pennsylvania",42097,12191.1442712,0.014425397783251305,4,0.06666666666666672,0.0393279296216747
"Perry County, Pennsylvania",42099,3195.7115489999996,0.01793248199868131,2,0.033333333333333215,0.011135416316110825
"Philadelphia County, Pennsylvania",42101,78198.97559290001,0.07335101233658908,4,0.13333333333333316,0.013189430786482654
"Pike County, Pennsylvania",42103,3445.7537939000003,0.04570488191374597,2,-0.033333333333333215,0.03318995700438077
"Potter County, Pennsylvania",42105,2191.0767303000002,0.015565971770223943,2,-0.033333333333333215,-0.017404152999211737
"Schuylkill County, Pennsylvania",42107,15262.7018313,0.0168796353314792,4,0.03333333333333351,0.016531837470307852
"Snyder County, Pennsylvania",42109,5222.4306752,0.015277068586060163,3,0.033333333333333215,0.027761231252124572
"Somerset County, Pennsylvania",42111,8590.6727095,0.018972646011192112,3,-0.09999999999999994,0.0002947776492335136
"Sullivan County, Pennsylvania",42113,668.9074095,0.019304332005535906,1,-0.16666666666666666,0.052734822250573646
"Susquehanna County, Pennsylvania",42115,5182.808940000001,0.017208973954513658,3,0.033333333333333215,-0.028816976428806804
"Tioga County, Pennsylvania",42117,3442.3626074000003,0.017417140313766614,2,-0.03333333333333351,0.04306176971255308
"Union County, Pennsylvania",42119,4459.9273508999995,0.016258551734019883,2,0.0,0.013059328771265815
"Venango County, Pennsylvania",42121,4319.7828096,0.01747511131954553,2,-0.03333333333333351,-0.0007898978385630494
"Warren County, Pennsylvania",42123,44291.334999000006,0.023781781948291662,4,-0.03333333333333351,0.007998995454890917
"Washington County, Pennsylvania",42125,24779.8503137,0.07663523882426565,4,-0.06666666666666672,0.03331703312335328
"Wayne County, Pennsylvania",42127,3968.7550596,0.019069209901497533,2,-0.19999999999999987,0.025171888485071087
"Westmoreland County, Pennsylvania",42129,41482.965094900006,0.05755661055327532,4,-0.06666666666666672,0.01073728886917228
"Wyoming County, Pennsylvania",42131,4764.5804735,0.014915582857087672,3,-0.16666666666666666,-0.02063926209193078
"York County, Pennsylvania",42133,48446.6005305,0.015502049053100111,4,0.13333333333333316,0.01274643194304943
"Bristol County, Rhode Island",44001,3733.8533516,0.1359082886361015,2,0.3,0.03176165042658141
"Kent County, Rhode Island",44003,7254.9026084,0.16151793505518242,3,0.3999999999999999,0.009628475258107174
"Newport County, Rhode Island",44005,4871.4979330999995,0.14159099902781846,3,0.3333333333333333,0.013787959921998477
"Providence County, Rhode Island",44007,34926.6559922,0.1381147302553294,4,0.4666666666666668,0.01421427766448002
"Washington County, Rhode Island",44009,8771.064961799999,0.13198610651446135,3,0.2333333333333334,0.01953583786630104
"Abbeville County, South Carolina",45001,2548.4508757999997,0.055622793225442634,2,0.36666666666666653,0.034911840023661114
"Aiken County, South Carolina",45003,14903.280094599999,0.03043618668258228,4,0.3999999999999999,0.021201266059435765
"Allendale County, South Carolina",45005,1934.0335143999998,0.024899534105838707,1,0.36666666666666653,0.04034177601464754
"Anderson County, South Carolina",45007,12454.677151,0.061243852471655834,4,0.3999999999999999,0.025398741459671952
"Bamberg County, South Carolina",45009,2432.7647872000002,0.028875065803415374,2,0.4000000000000001,0.0539067525106007
"Barnwell County, South Carolina",45011,1840.0246535999997,0.02834159825781795,1,0.5333333333333332,0.06270815002164823
"Beaufort County, South Carolina",45013,12589.2574576,0.03064370301047884,4,0.4333333333333334,0.03185513374351663
"Berkeley County, South Carolina",45015,14826.886236600001,0.0809518850240991,4,0.3666666666666667,0.07699688793102259
"Calhoun County, South Carolina",45017,2639.3783715,0.024816019203276352,2,0.36666666666666653,0.04311348693896237
"Charleston County, South Carolina",45019,30985.236265,0.08923829760038202,4,0.3,0.05372696327286394
"Cherokee County, South Carolina",45021,4794.2799812,0.05728053485399855,3,0.5666666666666668,0.017153407367617127
"Chester County, South Carolina",45023,5590.591862300001,0.026444469279952545,3,0.5333333333333335,0.05910796498756066
"Chesterfield County, South Carolina",45025,7487.5408953,0.03429580879869684,3,0.3999999999999999,-0.007514627477834282
"Clarendon County, South Carolina",45027,2920.3426139000003,0.0284226805315003,2,0.6666666666666666,0.03993465776060197
"Colleton County, South Carolina",45029,4325.0186067,0.02815556906356387,2,0.5,0.06282816962289851
"Darlington County, South Carolina",45031,7010.0117285,0.024014327243236325,3,0.4333333333333333,-0.001347481702646653
"Dillon County, South Carolina",45033,2299.2768985000002,0.029326964880061368,2,0.4666666666666668,0.007949035991690504
"Dorchester County, South Carolina",45035,9676.8578504,0.07843850964607868,3,0.3333333333333333,0.06212383999776125
"Edgefield County, South Carolina",45037,3389.0487851,0.026132899499166917,2,0.3,0.027247727637612146
"Fairfield County, South Carolina",45039,1968.3286283,0.029929614024671092,1,0.2999999999999998,0.02551577659858467
"Florence County, South Carolina",45041,14188.7102497,0.029882018880625038,4,0.4666666666666666,0.02335131631588119
"Georgetown County, South Carolina",45043,6988.484457799999,0.027354517010814698,3,0.6333333333333333,0.03440074299745027
"Greenville County, South Carolina",45045,33396.4706527,0.06624180272714608,4,0.3999999999999999,0.04045432085417536
"Greenwood County, South Carolina",45047,4436.719654500001,0.06472142906683209,2,0.5333333333333335,0.03132002480008442
"Hampton County, South Carolina",45049,2801.5849654,0.028684490918824204,2,0.4333333333333334,0.051161407209107376
"Horry County, South Carolina",45051,27601.160593500004,0.03020186563704863,4,0.4666666666666668,0.052909854737796476
"Jasper County, South Carolina",45053,3802.142517,0.027680554918550704,2,0.4000000000000001,0.061748701510332224
"Kershaw County, South Carolina",45055,6411.2639024,0.025631620259707118,3,0.4000000000000001,0.06265384588190494
"Lancaster County, South Carolina",45057,9184.3789611,0.03704789369125459,3,0.4333333333333334,0.06513486138310928
"Laurens County, South Carolina",45059,4620.7447471,0.07000746144534224,3,0.4666666666666666,-0.0006725024480273638
"Lee County, South Carolina",45061,1789.3610092999998,0.030044444335589424,1,0.3000000000000001,0.02435366742126044
"Lexington County, South Carolina",45063,30153.486019,0.028143793476656374,4,0.36666666666666653,0.034272735373918034
"McCormick County, South Carolina",45065,699.0807365000001,0.029100995856867724,1,0.4333333333333333,0.03841050833900797
"Marion County, South Carolina",45067,2234.8646291,0.029526580348949675,2,0.3000000000000001,0.04374063770597047
