target,model,model_label,n,n_predictors,r2_change,withheld_pillars,reference_model,noise_share_of_change,mostly_noise,change_sd,contribution,lift_over_lagged_size,lift_over_lagged,lift_over_lagged_size_geo
labor_force_participation,lagged_size_emacro_drop_D,"lagged + size + E_macro pillars, Source D withheld",3135,106,0.035394063463890624,D,lagged_size_emacro,1.150951604643076,True,0.025066921412525523,0.0006203387393783899,-0.06404231159364326,-0.06195301737118941,-0.06111032061569621
labor_force_participation,lagged_size_emacro_drop_E,"lagged + size + E_macro pillars, Source E withheld",3135,111,0.039944647402797906,E,lagged_size_emacro,1.150951604643076,True,0.025066921412525523,-0.003930245199528892,-0.05949172765473598,-0.05740243343228213,-0.05655973667678893
labor_force_participation,lagged_size_emacro_drop_F,"lagged + size + E_macro pillars, Source F withheld",3135,102,0.03828055961546606,F,lagged_size_emacro,1.150951604643076,True,0.025066921412525523,-0.002266157412197045,-0.06115581544206783,-0.05906652121961398,-0.05822382446412078
housing_vacancy_rate,fixed_effect,intercept only (= a geographic fixed effect's prediction of change),3135,1,-0.004448466332891865,,,0.8162560647579066,True,0.027634682817732775,,-0.19633599854560047,-0.20165813831574242,-0.19506384717512537
housing_vacancy_rate,lagged,the county's own early-vintage level,3135,1,0.19720967198285055,,,0.8162560647579066,True,0.027634682817732775,,0.005322139770141954,0.0,0.006594291140617048
housing_vacancy_rate,lagged_size,lagged + county size,3135,4,0.1918875322127086,,,0.8162560647579066,True,0.027634682817732775,,0.0,-0.005322139770141954,0.0012721513704750942
housing_vacancy_rate,lagged_size_geo,lagged + size + lat/lon,3135,6,0.1906153808422335,,,0.8162560647579066,True,0.027634682817732775,,-0.0012721513704750942,-0.006594291140617048,0.0
housing_vacancy_rate,lagged_size_emacro,lagged + size + E_macro pillars,3135,122,0.13084939035222154,,,0.8162560647579066,True,0.027634682817732775,,-0.06103814186048706,-0.06636028163062901,-0.059765990490011967
housing_vacancy_rate,lagged_size_geo_emacro,lagged + size + lat/lon + E_macro pillars,3135,124,0.12865627679150005,,,0.8162560647579066,True,0.027634682817732775,,-0.06323125542120855,-0.06855339519135051,-0.06195910405073346
housing_vacancy_rate,lagged_size_emacro_drop_A,"lagged + size + E_macro pillars, Source A withheld",3135,93,0.13212580387180617,A,lagged_size_emacro,0.8162560647579066,True,0.027634682817732775,-0.0012764135195846293,-0.05976172834090243,-0.06508386811104439,-0.05848957697042734
housing_vacancy_rate,lagged_size_emacro_drop_B,"lagged + size + E_macro pillars, Source B withheld",3135,82,0.16671381483922387,B,lagged_size_emacro,0.8162560647579066,True,0.027634682817732775,-0.03586442448700233,-0.025173717373484727,-0.03049585714362668,-0.023901566003009633
housing_vacancy_rate,lagged_size_emacro_drop_C,"lagged + size + E_macro pillars, Source C withheld",3135,118,0.13248921157553972,C,lagged_size_emacro,0.8162560647579066,True,0.027634682817732775,-0.001639821223318183,-0.05939832063716888,-0.06472046040731083,-0.058126169266693783
housing_vacancy_rate,lagged_size_emacro_drop_D,"lagged + size + E_macro pillars, Source D withheld",3135,107,0.13066760590905468,D,lagged_size_emacro,0.8162560647579066,True,0.027634682817732775,0.00018178444316685471,-0.061219926303653915,-0.06654206607379587,-0.05994777493317882
housing_vacancy_rate,lagged_size_emacro_drop_E,"lagged + size + E_macro pillars, Source E withheld",3135,112,0.1371308972856159,E,lagged_size_emacro,0.8162560647579066,True,0.027634682817732775,-0.006281506933394354,-0.05475663492709271,-0.06007877469723466,-0.05348448355661761
housing_vacancy_rate,lagged_size_emacro_drop_F,"lagged + size + E_macro pillars, Source F withheld",3135,102,0.13731669087254395,F,lagged_size_emacro,0.8162560647579066,True,0.027634682817732775,-0.006467300520322405,-0.054570841340164655,-0.05989298111030661,-0.05329868996968956
electric_heating_share,fixed_effect,intercept only (= a geographic fixed effect's prediction of change),3135,1,-0.0048364961938685,,,0.8932375070713378,True,0.035154920679515825,,-0.0196189982133963,0.0015021428146777538,-0.014035125928190229
electric_heating_share,lagged,the county's own early-vintage level,3135,1,-0.006338639008546254,,,0.8932375070713378,True,0.035154920679515825,,-0.021121141028074053,0.0,-0.015537268742867982
electric_heating_share,lagged_size,lagged + county size,3135,4,0.014782502019527799,,,0.8932375070713378,True,0.035154920679515825,,0.0,0.021121141028074053,0.005583872285206071
electric_heating_share,lagged_size_geo,lagged + size + lat/lon,3135,6,0.009198629734321728,,,0.8932375070713378,True,0.035154920679515825,,-0.005583872285206071,0.015537268742867982,0.0
electric_heating_share,lagged_size_emacro,lagged + size + E_macro pillars,3135,122,0.007222804117080761,,,0.8932375070713378,True,0.035154920679515825,,-0.007559697902447038,0.013561443125627015,-0.001975825617240967
electric_heating_share,lagged_size_geo_emacro,lagged + size + lat/lon + E_macro pillars,3135,124,0.005704652715186609,,,0.8932375070713378,True,0.035154920679515825,,-0.00907784930434119,0.012043291723732863,-0.0034939770191351194
electric_heating_share,lagged_size_emacro_drop_A,"lagged + size + E_macro pillars, Source A withheld",3135,93,0.007563310245164878,A,lagged_size_emacro,0.8932375070713378,True,0.035154920679515825,-0.00034050612808411707,-0.007219191774362921,0.013901949253711132,-0.00163531948915685
electric_heating_share,lagged_size_emacro_drop_B,"lagged + size + E_macro pillars, Source B withheld",3135,82,0.015602897604670596,B,lagged_size_emacro,0.8932375070713378,True,0.035154920679515825,-0.008380093487589835,0.0008203955851427969,0.02194153661321685,0.006404267870348868
electric_heating_share,lagged_size_emacro_drop_C,"lagged + size + E_macro pillars, Source C withheld",3135,118,0.009534312022780655,C,lagged_size_emacro,0.8932375070713378,True,0.035154920679515825,-0.0023115079056998944,-0.0052481899967471435,0.01587295103132691,0.0003356822884589272
electric_heating_share,lagged_size_emacro_drop_D,"lagged + size + E_macro pillars, Source D withheld",3135,107,0.0029594531782808353,D,lagged_size_emacro,0.8932375070713378,True,0.035154920679515825,0.004263350938799926,-0.011823048841246964,0.00929809218682709,-0.006239176556040893
