target,target_label,model,model_label,n,n_predictors,r2_out_of_state,r2_ablated,ablated_columns,withheld_pillars,reference_model,rmse,lift_over_size,lift_over_size_ablated,lift_over_grand_mean,contribution,contribution_ablated
median_home_value,median owner-occupied home value,size_emacro_no_ametro,"size + E_macro pillars, Source A's metro restatement withheld",3138,120,0.7220478216608487,0.7220478216608487,,,size_emacro,71140.62244557808,0.2345196923050723,0.2345196923050723,0.733147116538264,-0.0010298971451667693,-0.0010298971451667693
median_home_value,median owner-occupied home value,size_emacro_drop_F_no_ametro,"size + E_macro pillars, Source F and A's metro restatement both withheld",3138,100,0.6985850583611195,0.6985850583611195,,F,size_emacro_no_ametro,74082.39400837268,0.21105692900534312,0.21105692900534312,0.7096843532385348,0.023462763299729184,0.023462763299729184
mean_commute_minutes,mean commute time to work,grand_mean,intercept only (= fixed effect on an unseen unit),3141,1,-0.015942787898843402,-0.015942787898843402,,,,5.802614303457571,-0.16528625120955376,-0.16528625120955376,0.0,,
mean_commute_minutes,mean commute time to work,size,county size only,3141,3,0.14934346331071036,0.14934346331071036,,,,5.309653739435799,0.0,0.0,0.16528625120955376,,
mean_commute_minutes,mean commute time to work,emacro,E_macro pillars only,3141,118,0.3293484461779139,0.3293484461779139,,,,4.714520689408395,0.18000498286720357,0.18000498286720357,0.3452912340767573,,
mean_commute_minutes,mean commute time to work,size_emacro,size + E_macro pillars,3141,121,0.3814726741176293,0.3814726741176293,,,,4.527604927652465,0.23212921080691895,0.23212921080691895,0.3974154620164727,,
mean_commute_minutes,mean commute time to work,size_emacro_drop_A,"size + E_macro pillars, Source A withheld",3141,92,0.3804314723596287,0.3804314723596287,,A,size_emacro,4.531414111000292,0.23108800904891835,0.23108800904891835,0.3963742602584721,0.0010412017580005983,0.0010412017580005983
mean_commute_minutes,mean commute time to work,size_emacro_drop_B,"size + E_macro pillars, Source B withheld",3141,81,0.36836356293462147,0.36836356293462147,,B,size_emacro,4.5753325548326895,0.2190200996239111,0.2190200996239111,0.38430635083346487,0.013109111183007838,0.013109111183007838
mean_commute_minutes,mean commute time to work,size_emacro_drop_C,"size + E_macro pillars, Source C withheld",3141,117,0.38120216598367684,0.38120216598367684,,C,size_emacro,4.528594875896561,0.2318587026729665,0.2318587026729665,0.39714495388252025,0.00027050813395246287,0.00027050813395246287
mean_commute_minutes,mean commute time to work,size_emacro_drop_D,"size + E_macro pillars, Source D withheld",3141,106,0.36904626869906754,0.36904626869906754,,D,size_emacro,4.572859256728126,0.21970280538835718,0.21970280538835718,0.38498905659791094,0.01242640541856177,0.01242640541856177
mean_commute_minutes,mean commute time to work,size_emacro_drop_E,"size + E_macro pillars, Source E withheld",3141,111,0.3469381081091105,0.3469381081091105,,E,size_emacro,4.652284331565739,0.19759464479840017,0.19759464479840017,0.3628808960079539,0.034534566008518786,0.034534566008518786
mean_commute_minutes,mean commute time to work,size_emacro_drop_F,"size + E_macro pillars, Source F withheld",3141,101,0.35871000254002505,0.35871000254002505,,F,size_emacro,4.610163324239461,0.2093665392293147,0.2093665392293147,0.37465279043886845,0.022762671577604254,0.022762671577604254
mean_commute_minutes,mean commute time to work,size_emacro_drop_BE,"size + E_macro pillars, Sources B and E both withheld",3141,71,0.3344741836963353,0.3344741836963353,,B;E,size_emacro,4.696469775862187,0.18513072038562495,0.18513072038562495,0.3504169715951787,0.046998490421294004,0.046998490421294004
mean_commute_minutes,mean commute time to work,size_emacro_no_ametro,"size + E_macro pillars, Source A's metro restatement withheld",3141,120,0.37974486144092023,0.37974486144092023,,,size_emacro,4.533924290865155,0.23040139813020988,0.23040139813020988,0.39568764933976364,0.001727812676709073,0.001727812676709073
mean_commute_minutes,mean commute time to work,size_emacro_drop_F_no_ametro,"size + E_macro pillars, Source F and A's metro restatement both withheld",3141,100,0.3627128515481389,0.3627128515481389,,F,size_emacro_no_ametro,4.595752781018284,0.21336938823742857,0.21336938823742857,0.37865563944698233,0.017032009892781308,0.017032009892781308
